x,y,GV_fraction,NPV_fraction,SOIL_fraction,shade_fraction,RMSE,Complexity,model#,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B7,ST,elevation,slope,relative_elevation,cdl_class,date_str,year,month,day,doy,doy_sin,GV_fraction_raw,NPV_fraction_raw,SOIL_fraction_raw,index,NPV_bin,NPV_prediction
-117.0051072406266,33.12113639591107,0.777012468786914,0.05228576318350976,0.17070175732158313,0.478152871131897,0.027701517567038536,3,391,0.03342694044113159,0.07030882686376572,0.08261453360319138,0.20269541442394257,0.1451321244239807,0.10645303130149841,292.8888244628906,137.21597290039063,4.107088088989258,8.918704986572266,4.075306415557861,2023_01_26,2023,1,26,26,0.2219215130041655,0.4054817259311676,0.027285175397992134,0.08908022195100784,882551,0,0.11547998815733579
-117.26971671051348,33.34833182190001,0.9013890762744747,0.024133675582211373,0.0744772508669416,0.3161160945892334,0.03429652750492096,3,383,0.02178221195936203,0.05048256367444992,0.043876953423023224,0.25567853450775146,0.15347793698310852,0.08289435505867004,291.89849853515625,187.6630859375,2.0576796531677246,2.5599091053009033,5,2023_01_26,2023,1,26,26,0.2219215130041655,0.6164454817771912,0.01650463230907917,0.05093379318714142,816623,0,0.07304775669938315
-117.41503502594315,33.23825862028723,0.8291985145504404,0.0657381326524877,0.1050633692123787,0.319179892539978,0.03518199175596237,3,338,0.04239894822239876,0.07406429201364517,0.0584220215678215,0.29961004853248596,0.16531634330749512,0.09106965363025665,290.09466552734375,6.421342372894287,0.8226206302642822,3.7505643367767334,5,2023_01_26,2023,1,26,26,0.2219215130041655,0.5645350217819214,0.04475584253668785,0.07152925431728363,861578,0,0.08369416837596168
-117.02354314631543,32.99967631137283,0.6068859567542432,0.09840927497481206,0.2947047585832752,0.6154606342315674,0.024236522614955902,3,390,0.04053933918476105,0.06829265505075455,0.07376831024885178,0.1831778734922409,0.13569055497646332,0.1068819910287857,288.9228210449219,244,0.7198367118835449,7.281210422515869,4.02591609954834,2023_01_26,2023,1,26,26,0.2219215130041655,0.2333715409040451,0.03784224018454552,0.1133255809545517,919242,0,0.16846593222499798
-117.3494248909917,33.33369154385299,0.9198243285321889,0.04849431542648216,0.03168133288527921,0.6380253434181213,0.022307634353637695,3,65,0.038407836109399796,0.06692780554294586,0.06263858824968338,0.223288893699646,0.20936626195907593,0.12891429662704468,292.50341796875,65.80181884765625,4.084575176239014,2.258680820465088,5,2023_01_26,2023,1,26,26,0.2219215130041655,0.3329530954360962,0.01755371317267418,0.01146783959120512,823744,0,0.16794555759357765
-117.23501382921684,32.99154282356893,0.8699167351923228,0.0011686687396291204,0.1289146951292738,0.6356924772262573,0.01833917759358883,3,391,0.04100125655531883,0.07381331920623779,0.07353028655052185,0.2449112832546234,0.15565435588359833,0.10207802057266235,293.42657470703125,74.74241638183594,5.549750328063965,5.694171905517578,4.15837287902832,2023_01_26,2023,1,26,26,0.2219215130041655,0.31691721081733704,0.00042575481347739697,0.04696459323167801,920767,0,0.0550888947071774
-117.49908106658346,33.33531824141377,0.8661316418016436,0.02839455269432394,0.10547376008317157,0.4258798360824585,0.02882060781121254,3,382,0.034685779362916946,0.06284274160861969,0.048463787883520126,0.27774757146835327,0.1672704666852951,0.09788103401660919,290.2092590332031,48.97758102416992,1.1762295961380005,10.037992477416992,4.769122123718262,2023_01_26,2023,1,26,26,0.2219215130041655,0.497263640165329,0.01630188524723053,0.060554612427949905,822739,0,0.061265781557474655
-117.19109299507578,33.01594328698063,0.7535412884603497,0.04443724476987184,0.2020215653294511,0.6220269203186035,0.020778441801667213,3,391,0.028866339474916458,0.044412996619939804,0.042151905596256256,0.17755521833896637,0.14097559452056885,0.0890684649348259,292.556396484375,45.763336181640625,4.466084003448486,1.249883770942688,5,2023_01_26,2023,1,26,26,0.2219215130041655,0.2848183214664459,0.016796082258224487,0.07635871320962906,915465,0,0.16799103930830586
-117.54300190072452,33.57010492268635,0.7419679322784724,0.01782046930574789,0.2402115888786454,0.5117387771606445,0.02653772383928299,3,382,0.03503071516752243,0.0648820623755455,0.06127806752920151,0.24200205504894257,0.15234653651714325,0.09894878417253494,291.38299560546875,152.29087829589844,1.1182198524475098,1.887490153312683,5,2023_01_26,2023,1,26,26,0.2219215130041655,0.362274169921875,0.008701044134795666,0.11728600412607193,771938,0,0.06445989969502615
-117.1189760698812,33.10378495526275,0.8982794851920343,0.018890305266942787,0.08283022845221243,0.40903395414352417,0.03055008314549923,3,392,0.045379798859357834,0.06873922795057297,0.06919839233160019,0.23264408111572266,0.1866092085838318,0.12533263862133026,292.04376220703125,194.1495819091797,2.1782948970794678,11.36907958984375,5,2023_01_26,2023,1,26,26,0.2219215130041655,0.5308526754379272,0.011163529008626938,0.04894985258579254,886252,0,0.0968092281476776
-117.43997772187511,33.33911386905559,0.843256821109782,0.0950750588076286,0.06166812650151507,0.41963958740234375,0.029310008510947227,3,338,0.03571236506104469,0.06548521667718887,0.06066669523715973,0.2709870934486389,0.20136329531669617,0.12638601660728455,293.1020812988281,107.7203598022461,4.813205718994141,7.234100818634033,5,2023_01_26,2023,1,26,26,0.2219215130041655,0.48939287662506104,0.055177800357341766,0.03578973934054375,820761,0,0.14935040554849568
