x,y,GV_fraction,NPV_fraction,SOIL_fraction,shade_fraction,RMSE,Complexity,model#,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B7,ST,elevation,slope,relative_elevation,cdl_class,date_str,year,month,day,doy,doy_sin,GV_fraction_raw,NPV_fraction_raw,SOIL_fraction_raw,index,soil_bin,SOIL_prediction
-117.25561866498671,32.96388896503567,0.7452191170514378,0.21265713023307192,0.0421237066902316,0.7976496815681458,0.010759026743471622,3,3,0.02063196711242199,0.03242470324039459,0.023945491760969162,0.04991806671023369,0.04240458458662033,0.02845977433025837,289.7817687988281,5,6.155081748962402,2.444624423980713,5.382359027862549,2023_01_26,2023,1,26,26,0.2219215130041655,0.1507953256368637,0.0430312380194664,0.008523745462298393,927296,0,0.2623526857590474
-117.20735997068357,33.30115759263739,0.5877441203814866,0.3378156501665411,0.07444017752472361,0.42607545852661133,0.03273357078433037,3,78,0.044005487114191055,0.06949836760759354,0.07114352285861969,0.23426970839500427,0.23036803305149078,0.15329083800315857,293.9595031738281,56,0.605249285697937,1.7150042057037354,5,2023_01_26,2023,1,26,26,0.2219215130041655,0.3373207747936249,0.19388069212436676,0.042723044753074646,841259,0,0.10988757914301814
-117.42316851374706,33.33098038125169,0.895935606754421,0.0751577776889365,0.028906623205604505,0.2694517970085144,0.036279547959566116,3,382,0.035554952919483185,0.07221338897943497,0.06553668528795242,0.3183872401714325,0.2167455554008484,0.1323634386062622,294.4273681640625,59.05067443847656,5.140338897705078,12.425637245178223,4.5100507736206055,2023_01_26,2023,1,26,26,0.2219215130041655,0.6545241475105286,0.05490637943148613,0.02111768163740635,825095,0,0.0684440261877326
-117.04414798208532,33.19488001866643,0.6051208314862098,0.3469637858232559,0.04791533844323654,0.5369412899017334,0.024444986134767532,3,359,0.02902130037546158,0.045918457210063934,0.04785872995853424,0.18388332426548004,0.17946277558803558,0.10995855927467346,291.2274169921875,489.1707458496094,5.794499397277832,13.248390197753906,5,2023_01_26,2023,1,26,26,0.2219215130041655,0.28020647168159485,0.1606646031141281,0.022187614813447,870297,0,0.06901207038110821
-117.23121820157502,33.01594328698063,0.691964986615043,0.24689459046363524,0.06114041194524724,0.4908985495567322,0.026186425238847733,3,359,0.03318085893988609,0.04986667260527611,0.048884373158216476,0.21810095012187958,0.15895920991897583,0.09094240516424179,294.15997314453125,12,0.475023478269577,3.3608994483947754,4.167623996734619,2023_01_26,2023,1,26,26,0.2219215130041655,0.3522803783416748,0.1256943941116333,0.03112667240202427,915444,0,0.07645954805475758
-117.30658852189116,33.33098038125169,0.7642174497046199,0.20029327196143248,0.03548934198577193,0.4147394299507141,0.030060045421123505,3,338,0.025384534150362015,0.05110470578074455,0.04251507297158241,0.24670472741127014,0.15970462560653687,0.08950098603963852,292.55303955078125,93.135498046875,4.13062047958374,3.4964003562927246,5,2023_01_26,2023,1,26,26,0.2219215130041655,0.4472663402557373,0.11722375452518463,0.020770512521266937,825222,0,0.03748573092735524
-116.9969737528227,33.07667332924975,0.9750339595693196,0.008522013242809332,0.016444003924209548,0.5496246814727783,0.022592302411794662,3,392,0.03624371811747551,0.07068183273077011,0.0646127313375473,0.3337922990322113,0.22915758192539215,0.14019614458084106,294.3974609375,121.20061492919922,4.330089092254639,9.906532287597656,5,2023_01_26,2023,1,26,26,0.2219215130041655,0.4391312301158905,0.0038381044287234545,0.007405973505228758,897876,0,0.06863398208932192
-117.0240853788357,33.04630830811519,0.6504679490194234,0.2817642308662508,0.06776786019675664,0.7211778163909912,0.015535031445324421,3,359,0.03255520015954971,0.054763760417699814,0.05965964123606682,0.18581028282642365,0.14537225663661957,0.10253797471523285,292.53680419921875,223.26258850097656,2.0674936771392822,3.002622365951538,5,2023_01_26,2023,1,26,26,0.2219215130041655,0.18136489391326904,0.07856211811304092,0.018895182758569717,908292,0,0.17142693419601127
-117.49691213650242,33.374901215392754,0.7494662883438112,0.1872206814975475,0.06331298947526473,0.7252963781356812,0.01469931099563837,3,338,0.022603267803788185,0.03894829377532005,0.032129231840372086,0.19855478405952454,0.12728330492973328,0.0731927827000618,289.6907958984375,258.15313720703125,11.682395935058594,13.227421760559082,5,2023_01_26,2023,1,26,26,0.2219215130041655,0.20588110387325287,0.051430199295282364,0.01739230751991272,805134,0,0.06573766870527033
-117.42587967634836,33.50124139261333,0.5697968201182727,0.38820424922418917,0.041998930657538104,0.6285517811775208,0.02222336083650589,3,379,0.025026241317391396,0.03819817304611206,0.03346789628267288,0.1446668654680252,0.12411132454872131,0.07956602424383163,291.9032897949219,619.24578857421875,9.770757675170898,11.720033645629883,5,2023_01_26,2023,1,26,26,0.2219215130041655,0.21165001392364502,0.14419777691364288,0.015600427985191345,775979,0,0.06592760862072108
-117.41232386334185,33.27675712922569,0.9012649402344327,0.014156545343112859,0.08457849754377615,0.2275155782699585,0.03826666623353958,3,383,0.034358859062194824,0.059153541922569275,0.04958845302462578,0.2868614196777344,0.15661177039146423,0.08472966402769089,290.4986267089844,55.10322952270508,2.7996833324432373,10.135327339172363,5,2023_01_26,2023,1,26,26,0.2219215130041655,0.6962131261825562,0.010935710743069649,0.06533557176589966,851612,0,0.09194258045313425
