x,y,GV_fraction,NPV_fraction,SOIL_fraction,shade_fraction,RMSE,Complexity,model#,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B7,ST,elevation,slope,relative_elevation,cdl_class,date_str,year,month,day,doy,doy_sin,GV_fraction_raw,NPV_fraction_raw,SOIL_fraction_raw,index,NPV_bin,NPV_prediction
-117.22688034141294,32.98124040568399,0.9032480009074959,0.08591223961641424,0.010839803421203248,0.3642142415046692,0.03835228085517883,3,105,0.056853752583265305,0.08307240903377533,0.07834220677614212,0.27398917078971863,0.18937735259532928,0.10061851143836975,280.48297119140625,2,0,2.7300221920013428,5,2023_01_26,2023,1,26,26,0.2219215130041655,0.5742722153663635,0.054621778428554535,0.006891792640089989,921116,0,0.100477852528361
-117.47468060317175,33.37869684303457,0.8641424430888769,0.08067609084102377,0.05518148177526502,0.2883952260017395,0.03665938973426819,3,338,0.045348379760980606,0.061600461602211,0.057449452579021454,0.33811575174331665,0.1785300076007843,0.07762918621301651,286.11968994140625,116.80323791503906,2.1994271278381348,6.567355632781982,5,2023_01_26,2023,1,26,26,0.2219215130041655,0.6149278879165649,0.05740949138998985,0.0392674058675766,802537,0,0.08666102193784533
-117.15367895117784,33.19650671622721,0.6173465068595421,0.018233755762019754,0.3644197530013829,0.4634876251220703,0.03145565092563629,3,63,0.02956744283437729,0.033758703619241714,0.03145642206072807,0.11530999839305878,0.07037297636270523,0.04342332109808922,283.67108154296875,242.759765625,4.283815860748291,9.61514949798584,5,2023_01_26,2023,1,26,26,0.2219215130041655,0.331214040517807,0.009782635606825352,0.1955157071352005,868073,0,0.14256731953963575
-117.2952016389657,33.03654812275051,0.8578250626806151,0.07788554431177105,0.06428941654461945,0.5251787304878235,0.020701339468359947,3,51,0.13866281509399414,0.13033804297447205,0.1450360119342804,0.1533607542514801,0.04856601357460022,0.03030058741569519,285.9244689941406,-0.632603108882904,4.558596611022949,6.542387962341309,5.0070977210998535,2023_01_26,2023,1,26,26,0.2219215130041655,0.40731358528137207,0.03698171302676201,0.03052598237991333,908852,0,0.20417857154463623
-117.3873811674099,33.36785219262937,0.8730360391621852,0.03672094881671308,0.09024299923356628,0.417356014251709,0.030766544863581657,3,389,0.04115031287074089,0.07338173687458038,0.055912233889102936,0.3671075999736786,0.19438859820365906,0.09412998706102371,283.7104187011719,102.74136352539063,3.740814208984375,1.9814999103546143,4.692235469818115,2023_01_26,2023,1,26,26,0.2219215130041655,0.5086691975593567,0.021395239979028702,0.05257954075932503,806708,0,0.06038425483862079
-117.1054202568747,33.15204364956589,0.8576161700232106,0.034697354230652004,0.1076863951539165,0.49153661727905273,0.0258193276822567,3,389,0.04305084049701691,0.049751315265893936,0.05177401006221771,0.19385254383087158,0.1182064339518547,0.07048895955085754,283.18914794921875,228,3.3968148231506348,10.079134941101074,4.212570667266846,2023_01_26,2023,1,26,26,0.2219215130041655,0.4360664188861847,0.01764233410358429,0.054754588752985,876696,0,0.1473991979947341
-117.21657792352799,33.30657991783999,0.8793943010643179,0.006739844974649348,0.11386581294799362,0.5458407402038574,0.02415100298821926,3,392,0.034529030323028564,0.0809483453631401,0.05423993617296219,0.4558786451816559,0.23174889385700226,0.11731945723295212,283.7590637207031,76.74235534667969,4.5031514167785645,5.648151874542236,5,2023_01_26,2023,1,26,26,0.2219215130041655,0.3993850648403168,0.0030609630048274994,0.051713213324546814,836326,0,0.06270943589208339
-117.24531624710177,32.99913407885257,0.9677854106257022,0.01093170390677768,0.02128284072515913,0.33391261100769043,0.03203589469194412,3,345,0.039024606347084045,0.042378418147563934,0.03374498337507248,0.2274881899356842,0.13945360481739044,0.04872366413474083,280.8545837402344,74.09224700927734,5.404186248779297,1.3693411350250244,5,2023_01_26,2023,1,26,26,0.2219215130041655,0.6446296572685242,0.007281470112502575,0.014176231808960438,917525,0,0.0956912248898656
-117.54029073812322,33.57498501536869,0.7963098309431522,0.07899984533564945,0.12469023875776164,0.5176961421966553,0.029227154329419136,3,64,0.05058379843831062,0.07256294786930084,0.07033207267522812,0.2502375841140747,0.22038018703460693,0.13306593894958496,284.68109130859375,172.69590759277344,7.212313175201416,11.795731544494629,5,2023_01_26,2023,1,26,26,0.2219215130041655,0.38406330347061157,0.0381019301712513,0.060138583183288574,770352,0,0.17899338839533058
-117.44268888447641,33.45027153570889,0.7481489712575717,0.05188758954309503,0.1999634852688905,0.35310161113739014,0.034315139055252075,3,338,0.03904763609170914,0.06038666516542435,0.050554417073726654,0.2876852750778198,0.21856796741485596,0.11084362864494324,284.4999694824219,536.3702392578125,11.219864845275879,13.639577865600586,5,2023_01_26,2023,1,26,26,0.2219215130041655,0.4839763641357422,0.03356599807739258,0.12935605645179749,783600,0,0.13394708244035664
-117.46708934788812,33.42695553733771,0.830614679319612,0.0028224418506040475,0.16656282579259588,0.4512561559677124,0.028771724551916122,3,382,0.03412085399031639,0.04594035819172859,0.038143210113048553,0.1919778734445572,0.09683962911367416,0.04582534357905388,283.8908996582031,198,2.2862353324890137,4.558794975280762,5,2023_01_26,2023,1,26,26,0.2219215130041655,0.45579469203948975,0.0015487975906580687,0.09140032529830933,789778,0,0.09529960082179273
