x,y,GV_fraction,NPV_fraction,SOIL_fraction,shade_fraction,RMSE,Complexity,model#,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B7,ST,elevation,slope,relative_elevation,cdl_class,date_str,year,month,day,doy,doy_sin,GV_fraction_raw,NPV_fraction_raw,SOIL_fraction_raw,index,GV_bin,GV_prediction
-117.4632937202463,33.30603768531973,0.05153335479661774,0.13268506325936205,0.8157815638178793,0.48619920015335083,0.04378002509474754,3,48,0.09702339768409729,0.12730473279953003,0.14752469956874847,0.19316111505031586,0.24702630937099457,0.23592771589756012,283.65509033203125,32.63232421875,1.238235354423523,6.033017635345459,5,2023_01_26,2023,1,26,26,0.2219215130041655,0.026477878913283348,0.06817369163036346,0.4191492199897766,836405,0,0.06296246402145796
-117.35322051863352,33.28977070971193,0.03358604572855076,0.8339701114072143,0.13244386583934226,0.6757107377052307,0.020925208926200867,3,2,0.04190652444958687,0.04381004348397255,0.040614236146211624,0.10017073899507523,0.19973313808441162,0.11822442710399628,284.59820556640625,17,0,0.4996989667415619,4.627009868621826,2023_01_26,2023,1,26,26,0.2219215130041655,0.010891593992710114,0.2704475522041321,0.04295012354850769,845039,0,0.14164593197122075
-117.35105158855248,33.31200224304259,0.03679206658338819,0.12086428297210926,0.842343614471423,0.689326822757721,0.025901254266500473,3,110,0.05283474549651146,0.05826662480831146,0.06274005025625229,0.11329380422830582,0.12339692562818527,0.09143410623073578,284.0411071777344,22.87548828125,1.8462507724761963,0.5967594981193542,5,2023_01_26,2023,1,26,26,0.2219215130041655,0.011430308222770691,0.03754929080605507,0.2616935670375824,833376,0,0.14464047038328307
-117.04089458696376,33.04847723819623,0.0764941710742152,0.38232191288710116,0.5411839529916147,0.7479705810546875,0.02319130301475525,3,54,0.04538397863507271,0.0446900799870491,0.05600709468126297,0.09404747933149338,0.09830089658498764,0.07696111500263214,282.81158447265625,100.9467544555664,1.3671846389770508,2.589794158935547,5,2023_01_26,2023,1,26,26,0.2219215130041655,0.01927878148853779,0.09635636955499649,0.13639427721500397,905988,0,0.14437133967650806
-117.40635930561899,33.23066736500359,0.03412827389066788,0.24746324793306226,0.7184084551799739,0.5140143036842346,0.035596683621406555,3,22,0.06027776002883911,0.04841971769928932,0.06629224866628647,0.09699895232915878,0.14970706403255463,0.08895940333604813,284.9004821777344,0,0,1,4.519700050354004,2023_01_26,2023,1,26,26,0.2219215130041655,0.016585852950811386,0.12026359885931015,0.34913623332977295,861542,0,0.08810945568440778
-117.51263687958995,33.33911386905559,6.457589290033924e-5,0.17314303846399468,0.8267924045415226,0.5071954727172852,0.042606156319379807,3,110,0.05486999824643135,0.06509999930858612,0.06925249844789505,0.11036500334739685,0.1638524979352951,0.12427999824285507,285.5772399902344,4.642625331878662,8.358580589294434,9.993646621704102,5,2023_01_26,2023,1,26,26,0.2219215130041655,3.18232923746109e-5,0.08532567322254181,0.40744704008102417,819167,0,0.08295015584664371
-117.43780879179407,33.28651731459037,0.01008797655229555,0.8073771569488031,0.1825348104715406,0.5013208389282227,0.03225208818912506,3,342,0.06031711399555206,0.04949036240577698,0.06069306284189224,0.11984005570411682,0.10172128677368164,0.06423160433769226,285.314697265625,29.82240867614746,1.2763588428497314,5.349324703216553,4.754281520843506,2023_01_26,2023,1,26,26,0.2219215130041655,0.005030663684010506,0.40262216329574585,0.09102630615234375,846323,0,0.14913313535458472
-117.38575446984912,33.23771638776697,0.025483397732147247,0.1683833136314131,0.8061332886364396,0.35137104988098145,0.04293469712138176,3,47,0.09042800962924957,0.09201928228139877,0.11415258049964905,0.14818480610847473,0.19623683393001556,0.1336250752210617,283.9402770996094,4.0841875076293945,0.8540889620780945,4.390354156494141,4.638835430145264,2023_01_26,2023,1,26,26,0.2219215130041655,0.016529269516468048,0.1092182919383049,0.5228813886642456,860032,0,0.10569843704440567
-117.40310591049743,33.21602708695657,0.03136350926538507,0.2871359405262564,0.6815004792157673,0.5277308225631714,0.041799359023571014,3,53,0.13453146815299988,0.1720002442598343,0.18976499140262604,0.2097809612751007,0.2813161313533783,0.27106326818466187,283.51080322265625,0.8901767134666443,0.38186755776405334,3.4955320358276367,4.253027439117432,2023_01_26,2023,1,26,26,0.2219215130041655,0.014812018722295761,0.13560545444488525,0.3218516707420349,864191,0,0.04992788838056102
-117.40798600317977,33.22578727232125,0.08971052983695503,0.16473243659016198,0.7455569654245973,0.6173486709594727,0.030776990577578545,3,22,0.07832258194684982,0.09952227026224136,0.09864433109760284,0.12198306620121002,0.18630726635456085,0.13008783757686615,282.0316162109375,0,0.40192508697509766,1.9764801263809204,4.521079063415527,2023_01_26,2023,1,26,26,0.2219215130041655,0.034327853471040726,0.06303508579730988,0.28528836369514465,862416,0,0.11946460973715889
-117.37111419180209,33.26862364142179,0.09990599526571031,0.7204125409436393,0.1796814888112073,0.7022216320037842,0.019531486555933952,3,282,0.030893592163920403,0.036411628127098083,0.041815001517534256,0.08925383538007736,0.09668643027544022,0.058758389204740524,282.3759765625,8,0.30916064977645874,1.1079472303390503,5,2023_01_26,2023,1,26,26,0.2219215130041655,0.02974984422326088,0.21452327072620392,0.05350526049733162,852590,0,0.2098825291837028
