x,y,GV_fraction,NPV_fraction,SOIL_fraction,shade_fraction,RMSE,Complexity,model#,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B7,ST,elevation,slope,relative_elevation,cdl_class,date_str,year,month,day,doy,doy_sin,GV_fraction_raw,NPV_fraction_raw,SOIL_fraction_raw,index,GV_bin,GV_prediction
-117.46763158040838,33.29410856987401,0.090573874102267,0.2185138647846768,0.6909122709301396,0.24105966091156006,0.050402332097291946,3,2,0.08859947323799133,0.13159798085689545,0.15033333003520966,0.23446303606033325,0.2611914873123169,0.22085152566432953,290.6133728027344,0.9177942872047424,1.2688019275665283,2.940190315246582,5,2023_01_26,2023,1,26,26,0.2219215130041655,0.06874016672372818,0.16583898663520813,0.5243611931800842,844608,0,0.1681252306667478
-117.40690153813925,33.23175183004411,0.030208035401367232,0.3210854401259616,0.6487065172791429,0.48213309049606323,0.03524886816740036,3,22,0.07509703934192657,0.0884009599685669,0.09383244812488556,0.13801291584968567,0.19700369238853455,0.1603899449110031,292.6700134277344,0.08099153637886047,0.1876491755247116,2.517954111099243,4.005500793457031,2023_01_26,2023,1,26,26,0.2219215130041655,0.015643741935491562,0.16627952456474304,0.33594363927841187,863041,0,0.08855731923588962
-117.40635930561899,33.23175183004411,0.05521047978697843,0.3427193371523581,0.602070139072953,0.5765532851219177,0.02902510017156601,3,22,0.06789194792509079,0.080208919942379,0.08639077097177505,0.12867115437984467,0.18363690376281738,0.14842453598976135,292.6241760253906,0.46735963225364685,0.3898705542087555,3.661405086517334,4.2859344482421875,2023_01_26,2023,1,26,26,0.2219215130041655,0.02337869629263878,0.14512337744235992,0.2549446225166321,863042,0,0.1322331236592186
-117.43509762919278,33.25398336337477,0.029590778985584446,0.4082312699783258,0.562177903179327,0.552405595779419,0.04499661922454834,3,54,0.1700429767370224,0.21969173848628998,0.2384306639432907,0.27790364623069763,0.3112289309501648,0.28275391459465027,289.12481689453125,0,0.9983586668968201,0.057436369359493256,5,2023_01_26,2023,1,26,26,0.2219215130041655,0.01324466709047556,0.1827220320701599,0.25162768363952637,857955,0,0.07862069268226654
-117.460582557645,33.28543284954985,0.06853156871608905,0.17695957165338935,0.754508847109633,0.4049479365348816,0.04694033041596413,3,54,0.0916503369808197,0.13857237994670868,0.15725472569465637,0.2423546016216278,0.2535285949707031,0.20417813956737518,287.287841796875,0.031714215874671936,2.5653269290924072,12.520797729492188,5,2023_01_26,2023,1,26,26,0.2219215130041655,0.040779851377010345,0.10530015826225281,0.44897204637527466,848393,0,0.21042012288894937
-117.36569186659949,33.31308670808311,0.0684006714300127,0.3580351391623099,0.5735641409032939,0.5391809940338135,0.03123483620584011,3,342,0.04931029677391052,0.07751359045505524,0.10208200663328171,0.19485579431056976,0.20259959995746613,0.17531903088092804,292.563232421875,40.426631927490234,2.2751643657684326,16.694719314575195,4.019014358520508,2023_01_26,2023,1,26,26,0.2219215130041655,0.03152032941579819,0.1649893969297409,0.26430925726890564,834400,0,0.14590003461700657
-117.00348054306582,33.08914467721573,0.03949993533597254,0.4797433925381146,0.4807566149011098,0.4792062044143677,0.034104447811841965,3,22,0.04744343459606171,0.07220277935266495,0.08226516842842102,0.23282556235790253,0.2775939702987671,0.22489461302757263,296.773681640625,107.10848999023438,0.520751416683197,0.4524334669113159,5,2023_01_26,2023,1,26,26,0.2219215130041655,0.02057132124900818,0.2498473823070526,0.25037506222724915,891101,0,0.15910661908690968
-117.40635930561899,33.23012513248333,0.040340030084027666,0.313529725127667,0.646130156773312,0.6296507120132446,0.03201332315802574,3,30,0.10230064392089844,0.13099388778209686,0.14332428574562073,0.17892484366893768,0.23039643466472626,0.1797245591878891,292.9080505371094,0,0,0.4616497755050659,4.776574611663818,2023_01_26,2023,1,26,26,0.2219215130041655,0.014939901418983936,0.1161155104637146,0.23929384350776672,863369,0,0.1060386230555895
-117.46275148772604,33.28760177963089,0.031002329139714912,0.21961632888967533,0.7493813304345803,0.5156101584434509,0.04016591235995293,3,54,0.11973459273576736,0.17324134707450867,0.1941886991262436,0.24190454185009003,0.2613959014415741,0.22506360709667206,287.5772705078125,0,0.3698418438434601,4.365145683288574,5,2023_01_26,2023,1,26,26,0.2219215130041655,0.015017213299870491,0.1063799187541008,0.36299270391464233,847604,0,0.09261325678665142
-117.40256367797717,33.23120959752385,0.05706129256095799,0.21450065865493165,0.7284380243557057,0.5425050854682922,0.03243471682071686,3,22,0.08267135173082352,0.10689068585634232,0.11840599775314331,0.1653265655040741,0.19513094425201416,0.15503175556659698,289.421142578125,0,0.13887600600719452,0.44276994466781616,4.0597944259643555,2023_01_26,2023,1,26,26,0.2219215130041655,0.026105251163244247,0.09813296049833298,0.33325669169425964,863161,0,0.1341364333962042
-117.37328312188313,33.28868624467141,0.1602054286594039,0.38019556011223776,0.4595989358775309,0.7528036236763,0.01730811595916748,3,59,0.03773452341556549,0.05770520493388176,0.06602723896503448,0.1071120873093605,0.12027712911367416,0.08779455721378326,287.3778991699219,12,0.07282572239637375,0.7160532474517822,4.018625736236572,2023_01_26,2023,1,26,26,0.2219215130041655,0.03960220143198967,0.09398296475410461,0.11361119151115417,847241,1,0.2812437791380527
