x,y,GV_fraction,NPV_fraction,SOIL_fraction,shade_fraction,RMSE,Complexity,model#,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B7,ST,elevation,slope,relative_elevation,cdl_class,date_str,year,month,day,doy,doy_sin,index,GV_bin,GV_prediction,NPV_prediction,SOIL_prediction
-117.22904927149398,33.28977070971193,0.23682992406546352,0.2090848248428396,0.554085274667408,0.683972179889679,0.025297021493315697,3,334,0.0487491674721241,0.07827989757061005,0.09268646687269211,0.17513662576675415,0.1634773313999176,0.12860004603862762,292.8055725097656,70.66934967041016,7.140140056610107,10.112971305847168,5,2023_01_26,2023,1,26,26,0.2219215130041655,1012669,0,0.30597192351632585,0.24254316210391894,0.4540684396556694
-117.05173923736896,33.05389956339883,0.18360247805316232,0.6740612734548461,0.14233623691152467,0.6783125996589661,0.021769646555185318,3,102,0.047204650938510895,0.061052363365888596,0.07220283150672913,0.125232994556427,0.22099873423576355,0.19016133248806,294.2814025878906,95,0.45819252729415894,2.782834529876709,5,2023_01_26,2023,1,26,26,0.2219215130041655,1118050,0,0.21265779121355186,0.6337190771383806,0.17050754901977208
-117.29411717392517,33.21331592435527,0.23034884614617498,0.3860958361674749,0.38355521022395506,0.6533401012420654,0.02771782875061035,3,54,0.06909354776144028,0.10140329599380493,0.11053039878606796,0.19768933951854706,0.15455423295497894,0.12332019209861755,295.1770935058594,107.61527252197266,1.5633779764175415,3.192836046218872,4.745867729187012,2023_01_26,2023,1,26,26,0.2219215130041655,1049785,0,0.3898710255333321,0.2795310773191823,0.37832033501755713
-117.25290750238541,33.25669452597607,0.18005183163778346,0.5915622881850987,0.22838579735604206,0.4602402448654175,0.032545898109674454,3,2,0.04225797578692436,0.05717593804001808,0.06033323332667351,0.15029729902744293,0.18819113075733185,0.1370658278465271,292.2157287597656,33.30447006225586,0.8890470862388611,1.929835319519043,4.893621921539307,2023_01_26,2023,1,26,26,0.2219215130041655,1030902,0,0.2742794993274503,0.5337133810193877,0.16297603386851217
-117.2247114113319,33.29031294223219,0.25844600622583935,0.22952429839102584,0.5120296484282705,0.6826492547988892,0.0228708628565073,3,54,0.029620680958032608,0.04776318743824959,0.05222417041659355,0.12671558558940887,0.1463535726070404,0.1036437451839447,291.8955993652344,50.055355072021484,1.4911468029022217,2.335387706756592,4.780054092407227,2023_01_26,2023,1,26,26,0.2219215130041655,1012340,0,0.3453164616452808,0.3229381945736162,0.3135671437621207
-117.20898666824435,32.87604729675355,0.25172872364683796,0.5355512068138327,0.21272002393378805,0.6732598543167114,0.03058687411248684,3,335,0.052375346422195435,0.11011438816785812,0.1415436565876007,0.19228097796440125,0.1931995004415512,0.15082642436027527,292.3196105957031,123,0.7615487575531006,6.201610565185547,4.133105278015137,2023_01_26,2023,1,26,26,0.2219215130041655,1164615,0,0.3357326026039233,0.40644231443171414,0.31031387158316825
-117.12060276744198,33.18945769346383,0.21808968595364486,0.23388763687799696,0.5480226771683582,0.6000207662582397,0.03011634759604931,3,54,0.04458611086010933,0.08308669179677963,0.09056473523378372,0.18464858829975128,0.17503860592842102,0.1399846076965332,291.349853515625,311.463134765625,1.7473857402801514,4.986820220947266,4.200423240661621,2023_01_26,2023,1,26,26,0.2219215130041655,1058268,0,0.3500887446236562,0.23501058668579813,0.3945577784084399
-117.58854943242635,33.51750836822113,0.1862254163994671,0.7123898475643134,0.10138473603621945,0.4996688961982727,0.027972126379609108,3,3,0.041325703263282776,0.060012102127075195,0.06787488609552383,0.13088692724704742,0.1706840544939041,0.12594719231128693,290.1535949707031,70.04090881347656,1.8842284679412842,1.0624656677246094,4.657686233520508,2023_01_26,2023,1,26,26,0.2219215130041655,919789,0,0.26041965627878905,0.5972121851215059,0.11926749266002136
-117.08806881622638,33.20572466907163,0.2827503441803064,0.2716650375897613,0.4455846398357268,0.6551582217216492,0.02009904757142067,3,2,0.041660480201244354,0.06902437657117844,0.08286641538143158,0.11786907911300659,0.15443788468837738,0.13212382793426514,287.6593322753906,278.4235534667969,4.787156581878662,9.066354751586914,5,2023_01_26,2023,1,26,26,0.2219215130041655,1052588,0,0.28061408571455426,0.36822838312830525,0.36999513943419754
-117.68235565843133,33.46328511619513,0.30391296417328906,0.34072123085279005,0.3553657177839423,0.7436432242393494,0.019501548260450363,3,54,0.047156110405921936,0.07128242403268814,0.07721540331840515,0.10891589522361755,0.08516162633895874,0.0668543130159378,291.2065124511719,1.010255217552185,0.8060839176177979,7.446326732635498,4.516236782073975,2023_01_26,2023,1,26,26,0.2219215130041655,935309,0,0.3607392775009851,0.3132472008937941,0.31017288117977326
