x,y,GV_fraction,NPV_fraction,SOIL_fraction,shade_fraction,RMSE,Complexity,model#,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B7,ST,elevation,slope,relative_elevation,cdl_class,date_str,year,month,day,doy,doy_sin,GV_fraction_raw,NPV_fraction_raw,SOIL_fraction_raw,index,soil_bin,SOIL_prediction
-117.40473260805821,33.26645471134075,0.8418310740588775,0.07851630079594366,0.07965266353488558,0.3207285404205322,0.03429686650633812,3,338,0.04664238542318344,0.04909466579556465,0.04908693954348564,0.20014385879039764,0.17067129909992218,0.08014709502458572,285.3788146972656,53.07207107543945,2.1662724018096924,7.123289108276367,5,2023_01_26,2023,1,26,26,0.2219215130041655,0.5718318223953247,0.05333388224244118,0.05410578101873398,853258,0,0.13220975978458227
-117.26592108287166,33.34290949669741,0.9040292348971675,0.013397483557903642,0.08257328278189101,0.24708884954452515,0.03817370906472206,3,382,0.035059623420238495,0.05431436002254486,0.05250879004597664,0.37394675612449646,0.19180689752101898,0.08646102994680405,284.7004089355469,195.5694122314453,3.099482774734497,0.5449840426445007,5,2023_01_26,2023,1,26,26,0.2219215130041655,0.6806536912918091,0.01008711475878954,0.06217034533619881,817475,0,0.11400351761841163
-117.51589027471151,33.54245106415309,0.5314611889717705,0.38446002816482333,0.08407877537084862,0.502801239490509,0.02724594995379448,3,338,0.035482797771692276,0.058450426906347275,0.0565200001001358,0.19948336482048035,0.1904107928276062,0.12098966538906097,285.9111328125,309.5230407714844,4.001755237579346,9.714332580566406,5,2023_01_26,2023,1,26,26,0.2219215130041655,0.2642418444156647,0.19115304946899414,0.041803862899541855,771769,0,0.12822004309169954
-117.25561866498671,33.31471340564389,0.6573255142117291,0.24383920342503726,0.09883541942495772,0.5923051834106445,0.022176217287778854,3,338,0.04283056780695915,0.05976055935025215,0.06460348516702652,0.22475388646125793,0.16233164072036743,0.0988638773560524,282.48681640625,158.02084350585938,1.163678765296936,1.7041784524917603,5,2023_01_26,2023,1,26,26,0.2219215130041655,0.2679882049560547,0.0994119793176651,0.04029468819499016,831897,0,0.13416215369068538
-117.32231326497869,33.36514103002807,0.5334679533957395,0.3846696537604929,0.0818624642324736,0.5825344920158386,0.023158935829997063,3,339,0.03792162239551544,0.04765019193291664,0.05033392831683159,0.12957243621349335,0.14095894992351532,0.09239281713962555,282.96044921875,47.79472351074219,1.094117522239685,6.495569229125977,5,2023_01_26,2023,1,26,26,0.2219215130041655,0.2227044701576233,0.16058631241321564,0.034174755215644836,807963,0,0.11688328650884629
-116.97636891705282,33.05444179591909,0.7617698239673913,0.13951557633355133,0.09871459969905735,0.7184777855873108,0.015331071801483631,3,339,0.025983553379774094,0.03408663719892502,0.03130347281694412,0.16641657054424286,0.11179273575544357,0.05976101756095886,280.3639831542969,424.98516845703125,5.394561767578125,4.359951496124268,5,2023_01_26,2023,1,26,26,0.2219215130041655,0.21445512771606445,0.03927673399448395,0.027790352702140808,904455,0,0.09055294676097571
-117.40852823570003,33.33477600889351,0.8208940605852973,0.13440086145595256,0.04470499535012575,0.5490434169769287,0.02413821406662464,3,338,0.03737455606460571,0.04895699396729469,0.03341611102223396,0.22230377793312073,0.14878219366073608,0.06810276955366135,283.1175231933594,110.0319595336914,9.467894554138184,10.862828254699707,5,2023_01_26,2023,1,26,26,0.2219215130041655,0.37018758058547974,0.06060895323753357,0.020160011947155,821502,0,0.07788644797475924
-117.026796541437,33.04359714551389,0.989125244159423,0.0036356310241088415,0.007239188277856624,0.39463889598846436,0.03473613038659096,3,109,0.023542745038866997,0.030814167112112045,0.032986488193273544,0.09122364968061447,0.07322625070810318,0.05654512345790863,282.149658203125,194.98095703125,6.830275058746338,13.121417999267578,4.966736316680908,2023_01_26,2023,1,26,26,0.2219215130041655,0.5987779498100281,0.0022008696105331182,0.004382323008030653,907197,0,0.10942403212471478
-117.04469021460558,33.08372235201313,0.895844911646603,0.07671789777034733,0.027437168254083485,0.5829083323478699,0.03365442529320717,3,317,0.014965332113206387,0.027241280302405357,0.02818405069410801,0.23851510882377625,0.10544554889202118,0.05548875406384468,285.6399841308594,185,6.139206409454346,12.062562942504883,4.890967845916748,2023_01_26,2023,1,26,26,0.2219215130041655,0.3736494481563568,0.031998395919799805,0.011443814262747765,892334,0,0.04860625055217622
-117.23121820157502,33.28977070971193,0.9332264563626473,0.063365837752285,0.0034077295276254776,0.6060821413993835,0.02305886521935463,3,57,0.039335764944553375,0.043050505220890045,0.04469972848892212,0.14304295182228088,0.09249050915241241,0.055985480546951294,281.2345275878906,78,7.1123762130737305,11.62559700012207,4.2966742515563965,2023_01_26,2023,1,26,26,0.2219215130041655,0.3676145672798157,0.02496093511581421,0.0013423655182123184,845089,0,0.10312658000342753
-117.34834042595118,33.31254447556285,0.9458811957199116,0.0030295356868627393,0.051089297517923724,0.5492255091667175,0.026197399944067,3,101,0.03989327698945999,0.045831892639398575,0.046418290585279465,0.16920459270477295,0.12404265254735947,0.06516996026039124,283.4539794921875,23,0.22046004235744476,1.6331524848937988,4.227930068969727,2023_01_26,2023,1,26,26,0.2219215130041655,0.42637911438941956,0.00136563740670681,0.02302975207567215,833061,0,0.07267003356190282
